"common_name","year","yoy_change"
"American Crow",2000,-0.8531
"American Crow",2001,0.68
"American Crow",2002,-2.3796
"American Crow",2003,-2.8581
"American Crow",2004,2.9419
"American Crow",2005,1.8546
"American Crow",2006,-0.689799999999998
"American Crow",2007,-0.302100000000001
"American Crow",2008,0.273400000000001
"American Crow",2009,2.4227
"American Crow",2010,-0.494999999999999
"American Crow",2011,1.7449
"American Crow",2012,1.0037
"American Crow",2013,-1.7786
"American Crow",2014,-0.276899999999999
"American Crow",2015,-1.8266
"American Crow",2016,3.2871
"American Crow",2017,-2.5225
"American Crow",2018,-3.5228
"American Crow",2019,1.4768
"American Crow",2020,0.472899999999999
"American Crow",2021,-2.079
"American Crow",2022,3.2828
"American Crow",2023,-1.9181
"American Crow",2024,-2.2567
"American Goldfinch",2000,-1.8473
"American Goldfinch",2001,7.8681
"American Goldfinch",2002,-4.3086
"American Goldfinch",2003,-0.3331
"American Goldfinch",2004,0.716100000000001
"American Goldfinch",2005,4.5038
"American Goldfinch",2006,-6.7151
"American Goldfinch",2007,1.6667
"American Goldfinch",2008,2.7472
"American Goldfinch",2009,-7.3737
"American Goldfinch",2010,9.9079
"American Goldfinch",2011,-9.4001
"American Goldfinch",2012,4.4145
"American Goldfinch",2013,-4.0538
"American Goldfinch",2014,2.8484
"American Goldfinch",2015,-1.3235
"American Goldfinch",2016,0.2457
"American Goldfinch",2017,0.2502
"American Goldfinch",2018,-0.1432
"American Goldfinch",2019,-2.5596
"American Goldfinch",2020,1.2616
"American Goldfinch",2021,-1.8426
"American Goldfinch",2022,3.1651
"American Goldfinch",2023,-2.787
"American Goldfinch",2024,-1.6207
"American Robin",2000,3.4111
"American Robin",2001,-25.3016
"American Robin",2002,16.6442
"American Robin",2003,-10.4544
"American Robin",2004,0.1921
"American Robin",2005,30.3736
"American Robin",2006,-32.166
"American Robin",2007,-0.00799999999999912
"American Robin",2008,11.1377
"American Robin",2009,-10.6309
"American Robin",2010,2.9836
"American Robin",2011,2.4834
"American Robin",2012,-1.8412
"American Robin",2013,4.0243
"American Robin",2014,2.8376
"American Robin",2015,-10.4018
"American Robin",2016,-2.4403
"American Robin",2017,14.1151
"American Robin",2018,1.2
"American Robin",2019,-18.4897
"American Robin",2020,47.183
"American Robin",2021,-45.9103
"American Robin",2022,17.1635
"American Robin",2023,0.141699999999997
"American Robin",2024,-16.1319
