"","dif_mig","dif_habDen","dif_mass","dif_tailLen","dif_handWing","dif_Secondary","dif_KippsDist","dif_wingLen","dif_tarsusLen","dif_beakDep","dif_width","dif_beakLenNare","dif_beakLenCulm","dif_clutch","dif_ESI","dif_DB","dif_HB","dif_normMax","dif_elevaRange","dif_weight","dif_LAT","dif_RLM","dif_primHab","dif_primDiet","dif_INwt","dif_FRwt","dif_NEwt","dif_SEwt","dif_VEwt","dif_FIwt","dif_SCwt","dif_PLwt","dif_MSwt","dif_habitat","dif_trophicLvl","dif_trophicNic","dif_primLife","sp1","sp2","corr"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Northern.Bobwhite","Northern.Bobwhite",1
"2",0,1,53,65.4,9,12.2,22.8,34.6,10,5,4.3,0.700000000000001,4.7,5,0.0791812460476249,1,2,0,0,69.0166666666667,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,"Northern.Bobwhite","Mourning.Dove",0.345948524543566
"3",0,1,102.4,20,0.599999999999998,11,5.2,17.4,8.5,0.800000000000001,0.0999999999999996,13,17.7,1,0.301029995663981,1,1,1900,1900,131.283333333333,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,"Northern.Bobwhite","Red.bellied.Woodpecker",-0.107336707391865
"4",0,0,146.3,1.8,0.600000000000001,13.5,6,18.5,13.8,3.6,2.1,3.6,2.5,1,0.301029995663981,1,1,250,250,169.983333333333,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,"Northern.Bobwhite","Downy.Woodpecker",-0.0903481637758866
"5",0,1,114.7,110.5,2.3,87.2,26.1,118.6,0.300000000000001,3.5,7.6,28.8,37.2,0,0.301029995663981,1,1,200,200,91.75,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Pileated.Woodpecker",-0.114286566143857
"6",2,0,152.2,13.3,7,12.7,12.9,25.9,11.9,4.3,1.5,1.1,2.5,1,0.477121254719662,1,1,0,0,176.883333333333,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Eastern.Phoebe",0.0270272284799661
"7",0,0,83.9,64.6,10.2,28.9,7.4,20.2,5.1,0.5,3.1,10,15,0,0.176091259055681,1,0,1500,1500,120.31,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,"Northern.Bobwhite","Blue.Jay",0.0548266634879312
"8",1,0,276.9,110.3,8.9,106.8,76.6,183.7,25.4,8.2,6.9,24.6,35,1,0.823908740944319,3,5,700,700,259.916666666667,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,"Northern.Bobwhite","American.Crow",0.025482815423968
"9",0,1,112.7,100.3,8.7,96.8,70.3,166.9,17.5,6.4,6.8,18.6,28.4,1,0.698970004336019,3,3,1500,1500,76.8083333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"Northern.Bobwhite","Fish.Crow",0.0193423959504769
"10",0,1,150.3,11.8,11.5,14.2,17.8,31.9,9.1,2.9,2.1,0.200000000000001,1.6,3,0.477121254719662,1,3,1890,1890,174.216666666667,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,"Northern.Bobwhite","Tufted.Titmouse",-0.517477898310383
